cutoff,sigma,n_seeds,unordered_mean,unordered_sd,positional_mean,positional_sd,paired_improvement_mean,paired_improvement_sd,seeds_favouring_positional
2.5,1.2,3,0.32579069241429814,0.011004773534837909,0.31579682903759404,0.010176734199441203,0.009993863376704123,0.010648768062776053,3
3.0,1.5,3,0.3620281792499802,0.015214191983613394,0.30016126138242805,0.02391612402509093,0.06186691786755213,0.018257828180812886,3
3.5,1.8,3,0.4083273544230244,0.02151949261435812,0.28782776510625174,0.005754631218761294,0.12049958931677268,0.024070765579843455,3
