scenario,method,folds,oof_hops,pooled_oof_mae,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std,fold_median_ae_mean,fold_median_ae_std,fold_r2_mean,fold_r2_std,fold_spearman_mean,fold_spearman_std
affine_bvse,affine_em_bvse,5,1681,0.3159265568762949,0.31647767902360624,0.030237839924601273,0.4581420030270249,0.05056937817825799,0.2234920799893379,0.013852419382774117,0.6590325291744332,0.059840482200856235,0.6625164557159,0.04631679502575317
bvse_calibrated_delta,positional,5,1681,0.2475083945306129,0.24827998962573622,0.016433044065029503,0.3858298758646223,0.02966949614789187,0.16298435777425765,0.011808407453810399,0.7573454730484835,0.039561560961771935,0.7721087674736713,0.02365633654862156
dft_path,crystal,5,1681,0.4799557365547262,0.481541596406148,0.05056963872560925,0.7662036441852034,0.048645995699885786,0.297716290752093,0.049526032685274404,0.050634834382104546,0.06340687171557916,0.30858905696933236,0.08586974112561802
dft_path,midpoint,5,1681,0.3126183357532981,0.3125005370205556,0.0167396756960187,0.4963876888483525,0.042770699279415354,0.1977075437704722,0.014039623335577914,0.600650558224113,0.050331504086849846,0.7086044233737291,0.04712083841421778
dft_path,positional,5,1681,0.27563140281032306,0.2758485313424167,0.01519122139756401,0.436491804993379,0.03122849668073034,0.17114746098717054,0.007426616725432146,0.6921801200812601,0.02026224151173187,0.750743969290015,0.03260245398285777
dft_path,trajectory,5,1681,0.32860797883925363,0.3291527851313291,0.015870152671976508,0.5106865349719041,0.031484171432901956,0.21393253207206725,0.021555955258638643,0.5784918323154382,0.021164732590629336,0.6429372016890988,0.027212000377395996
