comparison,fold,left_mae,right_mae,mae_improvement
crystal_minus_midpoint,0,0.4888970545442099,0.32696342759056773,0.16193362695364216
crystal_minus_midpoint,1,0.5461965290350227,0.32136893779015113,0.22482759124487156
crystal_minus_midpoint,2,0.48199237476739215,0.2913648179826162,0.19062755678477594
crystal_minus_midpoint,3,0.40426666601436123,0.29754788988765857,0.10671877612670266
crystal_minus_midpoint,4,0.486355357669754,0.325257611851784,0.16109774581797004
midpoint_minus_trajectory,0,0.32696342759056773,0.34562745141931134,-0.018664023828743603
midpoint_minus_trajectory,1,0.32136893779015113,0.3307871810634834,-0.009418243273332294
midpoint_minus_trajectory,2,0.2913648179826162,0.34348542318265474,-0.05212060520003853
midpoint_minus_trajectory,3,0.29754788988765857,0.3120087253222406,-0.014460835434582042
midpoint_minus_trajectory,4,0.325257611851784,0.3138551446689558,0.011402467182828169
midpoint_minus_positional,0,0.32696342759056773,0.28083306797293583,0.0461303596176319
midpoint_minus_positional,1,0.32136893779015113,0.2878450890628866,0.03352384872726455
midpoint_minus_positional,2,0.2913648179826162,0.2752908103986272,0.016074007583989025
midpoint_minus_positional,3,0.29754788988765857,0.2500420275333398,0.04750586235431875
midpoint_minus_positional,4,0.325257611851784,0.28523166174429393,0.04002595010749005
trajectory_minus_positional,0,0.34562745141931134,0.28083306797293583,0.0647943834463755
trajectory_minus_positional,1,0.3307871810634834,0.2878450890628866,0.04294209200059684
trajectory_minus_positional,2,0.34348542318265474,0.2752908103986272,0.06819461278402755
trajectory_minus_positional,3,0.3120087253222406,0.2500420275333398,0.06196669778890079
trajectory_minus_positional,4,0.3138551446689558,0.28523166174429393,0.02862348292466188
affine_minus_delta,0,0.30015694625332257,0.24104315463768608,0.059113791615636485
affine_minus_delta,1,0.3588209110723305,0.2746308237722752,0.08419008730005528
affine_minus_delta,2,0.306096040457874,0.2534717928317333,0.05262424762614065
affine_minus_delta,3,0.282504853427949,0.2337711731978189,0.04873368023013011
affine_minus_delta,4,0.3348096439065554,0.23848300368916736,0.09632664021738802
