outcome,variable,bin,n,variable_mean,mean_improvement,median_improvement,fraction_helped,mean_ci_low,mean_ci_high
delta_pos,dft_barrier,"(0.0487, 0.389]",55,0.23785980805707513,0.04978287704385158,0.021495461463928278,0.6,0.006894899807412996,0.10635909853073607
delta_pos,dft_barrier,"(0.389, 0.624]",55,0.4970045470831939,0.022509757683045754,-0.0057561706141995295,0.45454545454545453,-0.012592766832922464,0.059094288854536145
delta_pos,dft_barrier,"(0.624, 1.046]",55,0.8098357908780803,0.04055308432789183,0.04450553953647607,0.6181818181818182,-0.005132892950966315,0.085835290671101
delta_pos,dft_barrier,"(1.046, 4.538]",55,2.047445529004462,0.10893672261715895,0.04420082569122319,0.5636363636363636,-0.024142708837894943,0.24776001242348655
delta_pos,affine_bvse_absolute_error,"(0.00181, 0.102]",55,0.06022981103629655,0.007484086540332344,-0.005603671073913574,0.4909090909090909,-0.05157240572835911,0.06410375985930984
delta_pos,affine_bvse_absolute_error,"(0.102, 0.199]",55,0.14670629343582497,0.03782633551671923,0.005382424592971835,0.5454545454545454,0.00044834230952574505,0.0770767283919428
delta_pos,affine_bvse_absolute_error,"(0.199, 0.352]",55,0.27112069840307057,0.07518353020241163,0.04094007611274725,0.6181818181818182,0.014832786370021571,0.14473150840706464
delta_pos,affine_bvse_absolute_error,"(0.352, 2.192]",55,0.7069152318467173,0.1012884894124849,0.048531019687652666,0.5818181818181818,-0.015369845222085133,0.23031081545720009
delta_pos,dft_path_length,"(0.257, 3.015]",55,2.604957279237055,0.02780260137304448,0.016336053609848022,0.5818181818181818,-0.0053637830276650105,0.06090770433626597
delta_pos,dft_path_length,"(3.015, 3.598]",55,3.3622486628468637,0.03370407902983288,0.035231012105941706,0.5636363636363636,0.010534663834129302,0.0579267812983849
delta_pos,dft_path_length,"(3.598, 5.085]",55,4.2044371828726534,-0.010124390912718982,-0.007481426000595037,0.4909090909090909,-0.05992967994540924,0.03781144300166242
delta_pos,dft_path_length,"(5.085, 18.028]",55,6.042377754231097,0.17040015218178978,0.10114487409591677,0.6,0.03414987400258255,0.30785176388206176
delta_pos,dft_tortuosity,"(0.9999999999999999, 1.026]",55,1.0127183597437792,0.017154187216965915,0.0013083100318908025,0.509090909090909,-0.0232042718425776,0.05567236030562396
delta_pos,dft_tortuosity,"(1.026, 1.054]",55,1.038691533497255,0.10818827492020654,0.0361614763736724,0.6363636363636364,0.019475439703757744,0.2061500863089406
delta_pos,dft_tortuosity,"(1.054, 1.102]",55,1.077586958733327,0.041384797983258254,0.010458257794380144,0.5272727272727272,-0.0007796589749818089,0.08773300219134386
