family_type,family,n,outcome,mean_improvement,median_improvement,fraction_helped
composition_family,Li11C4O28Fe4As4,9,delta_pos,-0.009362247255113393,-0.016583225131034884,0.1111111111111111
composition_family,Li11C4O28Fe4As4,9,delta_bvse,0.08276730263333858,0.06768154189174702,0.7777777777777778
composition_family,Li7C4O28Na4P4Co4,10,delta_pos,-0.05407047408856558,0.031112283468246404,0.9
composition_family,Li7C4O28Na4P4Co4,10,delta_bvse,0.008226588821713687,-0.027041350727675106,0.4
anion_family,O,175,delta_pos,0.07593805532226133,0.035231012105941706,0.6
anion_family,O,175,delta_bvse,0.06259727911572524,0.05502860523750264,0.6971428571428572
anion_family,O+F,20,delta_pos,-0.04145589116632835,-0.011916878819465626,0.4
anion_family,O+F,20,delta_bvse,0.07664213681245405,0.0860272308502702,0.75
