seed,mean_abs_forward_reverse_difference,median_abs_forward_reverse_difference
7,0.04535898512059992,0.03077682852745056
17,0.03876034089110114,0.025144249200820923
29,0.03189784356138923,0.020165205001831055
43,0.025954299758781087,0.02011159062385559
71,0.045003161579370496,0.027068406343460083
89,0.03580996908924796,0.029659509658813477
101,0.022287748686291953,0.012405797839164734
131,0.05378334142945029,0.029329583048820496
167,0.032356390763412825,0.02139332890510559
197,0.03030440251935612,0.020610570907592773
