outcome,feature_set,task,model,repeat,r2,mae,spearman,roc_auc,balanced_accuracy
delta_bvse,trajectory_profiles,regression,random_forest,2,-0.13690885780078688,0.15099530673612516,-0.02673345993249297,,
delta_bvse,trajectory_profiles,regression,ridge,2,-0.40331068711689455,0.17129262749600438,-0.24449941677983578,,
delta_bvse,trajectory_profiles,regression,random_forest,3,-0.09415565518351343,0.14751931287289557,0.06218422995215904,,
delta_bvse,trajectory_profiles,regression,ridge,3,-0.26381732559737103,0.16471601643147812,-0.15474436924880114,,
delta_bvse,trajectory_profiles,regression,random_forest,4,-0.07226778618186569,0.14666426454825654,0.05755565948958374,,
delta_bvse,trajectory_profiles,regression,ridge,4,-0.2634973111978036,0.1635900391172982,-0.08457086829367248,,
delta_bvse,trajectory_profiles,regression,random_forest,5,-0.09059482082785153,0.14903911402507974,0.0015901906312865215,,
delta_bvse,trajectory_profiles,regression,ridge,5,-0.21497561526857556,0.1625172271924803,-0.13202752122977748,,
delta_bvse,trajectory_profiles,regression,random_forest,6,-0.1363529402427479,0.1506760231744109,-0.01648118199286612,,
delta_bvse,trajectory_profiles,regression,ridge,6,-0.24303090717522124,0.16321443878312691,-0.18146768622191667,,
delta_bvse,trajectory_profiles,regression,random_forest,7,-0.1247916989411022,0.151695532544241,-0.08226278153755993,,
delta_bvse,trajectory_profiles,regression,ridge,7,-0.22439598646199244,0.16283135955848066,-0.1895042910353144,,
delta_bvse,trajectory_profiles,regression,random_forest,8,-0.10928429907411918,0.14797985646284195,-0.009569318674878707,,
delta_bvse,trajectory_profiles,regression,ridge,8,-0.3087031700817289,0.16562517778718674,-0.15654756202701406,,
delta_bvse,trajectory_profiles,regression,random_forest,9,-0.09747733480304843,0.14891951475136447,0.026911525219341495,,
delta_bvse,trajectory_profiles,regression,ridge,9,-0.26135740482940495,0.1605086637490169,-0.06666403701053177,,
delta_bvse,trajectory_profiles,classification,logistic,0,,,,0.4967847202226701,0.5497648526730012
delta_bvse,trajectory_profiles,classification,random_forest,0,,,,0.5276897974853634,0.4770611383050196
delta_bvse,trajectory_profiles,classification,logistic,1,,,,0.4688549764852673,0.5087820328246473
delta_bvse,trajectory_profiles,classification,random_forest,1,,,,0.5427584221134466,0.5066705058066993
delta_bvse,trajectory_profiles,classification,logistic,2,,,,0.45810538439389575,0.4870429023898647
delta_bvse,trajectory_profiles,classification,random_forest,2,,,,0.5017756022650927,0.4828678376043766
delta_bvse,trajectory_profiles,classification,logistic,3,,,,0.4519627603416835,0.47379786927728185
delta_bvse,trajectory_profiles,classification,random_forest,3,,,,0.5626259717823208,0.5422785296093675
delta_bvse,trajectory_profiles,classification,logistic,4,,,,0.5033112582781457,0.5060946348018044
delta_bvse,trajectory_profiles,classification,random_forest,4,,,,0.5683846818312698,0.5317208945196277
delta_bvse,trajectory_profiles,classification,logistic,5,,,,0.5020635377675401,0.4949131394567617
delta_bvse,trajectory_profiles,classification,random_forest,5,,,,0.5437182071216047,0.527785775986179
delta_bvse,trajectory_profiles,classification,logistic,6,,,,0.45071503983107786,0.48829062290047026
delta_bvse,trajectory_profiles,classification,random_forest,6,,,,0.5107975813417793,0.4776849985603225
delta_bvse,trajectory_profiles,classification,logistic,7,,,,0.5001439677512236,0.5046549572895671
delta_bvse,trajectory_profiles,classification,random_forest,7,,,,0.48958633266148377,0.4729340627699395
delta_bvse,trajectory_profiles,classification,logistic,8,,,,0.4844994721182455,0.47979652557827046
delta_bvse,trajectory_profiles,classification,random_forest,8,,,,0.5560994337268452,0.5509645839331989
delta_bvse,trajectory_profiles,classification,logistic,9,,,,0.5414147231020251,0.5259621844706786
delta_bvse,trajectory_profiles,classification,random_forest,9,,,,0.6059122756502543,0.5654573375563874
