outcome,feature_set,task,model,permutation,score
delta_pos,published_litraj,regression,random_forest,44,-0.08248358953118325
delta_pos,published_litraj,regression,ridge,44,-0.054595408065775584
delta_pos,published_litraj,regression,random_forest,45,-0.09115173983334557
delta_pos,published_litraj,regression,ridge,45,-0.040202667816877445
delta_pos,published_litraj,regression,random_forest,46,-0.06355850599897442
delta_pos,published_litraj,regression,ridge,46,-0.05508943974621929
delta_pos,published_litraj,regression,random_forest,47,-0.06643048319948741
delta_pos,published_litraj,regression,ridge,47,-0.0417179877152329
delta_pos,published_litraj,regression,random_forest,48,-0.07776500129725353
delta_pos,published_litraj,regression,ridge,48,-0.05115767741935569
delta_pos,published_litraj,regression,random_forest,49,-0.020904312533591717
delta_pos,published_litraj,regression,ridge,49,-0.0698180396227269
delta_pos,published_litraj,regression,random_forest,50,-0.05604758083540025
delta_pos,published_litraj,regression,ridge,50,-0.020513355242830877
delta_pos,published_litraj,regression,random_forest,51,-0.06349345887461741
delta_pos,published_litraj,regression,ridge,51,-0.06021382035382563
delta_pos,published_litraj,regression,random_forest,52,-0.023590956955469766
delta_pos,published_litraj,regression,ridge,52,-0.06865069711742414
delta_pos,published_litraj,regression,random_forest,53,0.0060904747960617844
delta_pos,published_litraj,regression,ridge,53,-0.050253117705532334
delta_pos,published_litraj,regression,random_forest,54,-0.07003900617048933
delta_pos,published_litraj,regression,ridge,54,-0.01109148195062798
delta_pos,published_litraj,regression,random_forest,55,0.000210073436857805
delta_pos,published_litraj,regression,ridge,55,-0.04585121853709464
delta_pos,published_litraj,regression,random_forest,56,-0.06962006814845685
delta_pos,published_litraj,regression,ridge,56,-0.046918042609813096
delta_pos,published_litraj,regression,random_forest,57,-0.0561076988144497
delta_pos,published_litraj,regression,ridge,57,-0.051883540679655483
delta_pos,published_litraj,regression,random_forest,58,-0.050671637285755855
delta_pos,published_litraj,regression,ridge,58,-0.03874600819760323
delta_pos,published_litraj,regression,random_forest,59,-0.03277981080012156
delta_pos,published_litraj,regression,ridge,59,-0.055882667079975
delta_pos,published_litraj,regression,random_forest,60,-0.02672354269000632
delta_pos,published_litraj,regression,ridge,60,-0.028964702249520767
delta_pos,published_litraj,regression,random_forest,61,-0.09105389959941113
delta_pos,published_litraj,regression,ridge,61,-0.06916762687306113
delta_pos,published_litraj,regression,random_forest,62,-0.01444008822641305
delta_pos,published_litraj,regression,ridge,62,-0.0332429212817734
delta_pos,published_litraj,regression,random_forest,63,-0.024410450138227825
delta_pos,published_litraj,regression,ridge,63,-0.03305518416962054
delta_pos,published_litraj,regression,random_forest,64,-0.0855005258979193
delta_pos,published_litraj,regression,ridge,64,-0.05331807612782922
delta_pos,published_litraj,regression,random_forest,65,-0.04631227931266464
delta_pos,published_litraj,regression,ridge,65,-0.05012218118489657
delta_pos,published_litraj,regression,random_forest,66,-0.048353131475438314
delta_pos,published_litraj,regression,ridge,66,-0.032056661881559825
delta_pos,published_litraj,regression,random_forest,67,-0.01843031235816075
delta_pos,published_litraj,regression,ridge,67,-0.0806499761145542
delta_pos,published_litraj,regression,random_forest,68,-0.11876705795196636
delta_pos,published_litraj,regression,ridge,68,-0.0506596973451096
delta_pos,published_litraj,regression,random_forest,69,-0.01989820870313903
delta_pos,published_litraj,regression,ridge,69,-0.1102795497404763
delta_pos,published_litraj,regression,random_forest,70,-0.05410818905564245
delta_pos,published_litraj,regression,ridge,70,-0.03326962452325479
delta_pos,published_litraj,regression,random_forest,71,-0.06952103153599445
delta_pos,published_litraj,regression,ridge,71,-0.04084413747049324
delta_pos,published_litraj,regression,random_forest,72,-0.07567468034695976
delta_pos,published_litraj,regression,ridge,72,-0.07577853055753733
delta_pos,published_litraj,regression,random_forest,73,-0.10365202478692992
delta_pos,published_litraj,regression,ridge,73,-0.04767663132956741
delta_pos,published_litraj,regression,random_forest,74,-0.021158291430004705
delta_pos,published_litraj,regression,ridge,74,-0.013440381441533167
delta_pos,published_litraj,regression,random_forest,75,-0.06399177289540947
delta_pos,published_litraj,regression,ridge,75,-0.05845962842716712
delta_pos,published_litraj,regression,random_forest,76,-0.06247769720903655
delta_pos,published_litraj,regression,ridge,76,-0.06740475819322
delta_pos,published_litraj,regression,random_forest,77,-0.000262805935306476
delta_pos,published_litraj,regression,ridge,77,-0.007944546241860329
delta_pos,published_litraj,regression,random_forest,78,-0.047932630580917325
delta_pos,published_litraj,regression,ridge,78,-0.039094072687226464
delta_pos,published_litraj,regression,random_forest,79,-0.05545202924597088
delta_pos,published_litraj,regression,ridge,79,-0.03848163421903831
delta_pos,published_litraj,regression,random_forest,80,-0.04703490811804902
delta_pos,published_litraj,regression,ridge,80,-0.06358943365388348
delta_pos,published_litraj,regression,random_forest,81,-0.11744693500722951
delta_pos,published_litraj,regression,ridge,81,-0.07949118319208251
delta_pos,published_litraj,regression,random_forest,82,-0.018716979149843927
delta_pos,published_litraj,regression,ridge,82,0.001135122609020245
delta_pos,published_litraj,regression,random_forest,83,-0.11866178851595491
delta_pos,published_litraj,regression,ridge,83,-0.07986229690267117
delta_pos,published_litraj,regression,random_forest,84,-0.01968282632463687
delta_pos,published_litraj,regression,ridge,84,-0.06289175749198614
delta_pos,published_litraj,regression,random_forest,85,-0.04636086402556998
delta_pos,published_litraj,regression,ridge,85,-0.030168697160382663
delta_pos,published_litraj,regression,random_forest,86,-0.08187925836724845
delta_pos,published_litraj,regression,ridge,86,-0.062336306621533645
delta_pos,published_litraj,regression,random_forest,87,-0.03217630037826258
delta_pos,published_litraj,regression,ridge,87,-0.08233120328674037
delta_pos,published_litraj,regression,random_forest,88,-0.07362252955510666
delta_pos,published_litraj,regression,ridge,88,-0.05832497413248945
delta_pos,published_litraj,regression,random_forest,89,-0.0257577671168991
delta_pos,published_litraj,regression,ridge,89,-0.04231602754922241
delta_pos,published_litraj,regression,random_forest,90,-0.07551637047311863
delta_pos,published_litraj,regression,ridge,90,-0.008966290248455234
delta_pos,published_litraj,regression,random_forest,91,-0.0275636216003724
delta_pos,published_litraj,regression,ridge,91,-0.028328419280931372
delta_pos,published_litraj,regression,random_forest,92,-0.058616034151804185
delta_pos,published_litraj,regression,ridge,92,-0.0451660757937941
