outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
bvse_delta_benefit,83,220,23;41;87;93;803,35;59;71;155;201,0.9002344880060145,0.8749553428038519
bvse_delta_benefit,84,220,23;41;87;155;201,35;59;71;93;803,0.9252286406629886,0.8993097152645902
bvse_delta_benefit,85,220,23;41;87;155;803,35;59;71;93;201,0.9070784054066552,0.9040171754112123
bvse_delta_benefit,86,220,23;41;87;201;803,35;59;71;93;155,0.9171781179348922,0.8789516687985665
bvse_delta_benefit,87,220,23;41;93;155;201,35;59;71;87;803,0.9249102444291777,0.9089376377047609
bvse_delta_benefit,88,220,23;41;93;155;803,35;59;71;87;201,0.9093424296837127,0.8965463223319791
bvse_delta_benefit,89,220,23;41;93;201;803,35;59;71;87;155,0.9164659897083024,0.8941086310949324
bvse_delta_benefit,90,220,23;41;155;201;803,35;59;71;87;93,0.9423536422949065,0.9247099395366921
bvse_delta_benefit,91,220,23;59;71;87;93,35;41;155;201;803,0.9214324505530405,0.9033094222457639
bvse_delta_benefit,92,220,23;59;71;87;155,35;41;93;201;803,0.9181309983123183,0.907799372263514
bvse_delta_benefit,93,220,23;59;71;87;201,35;41;93;155;803,0.9286326194732311,0.9065010734632006
bvse_delta_benefit,94,220,23;59;71;87;803,35;41;93;155;201,0.936055447254902,0.9301927725779457
bvse_delta_benefit,95,220,23;59;71;93;155,35;41;87;201;803,0.9008955765047552,0.8848740300795094
bvse_delta_benefit,96,220,23;59;71;93;201,35;41;87;155;803,0.9082421412845657,0.901703453677668
bvse_delta_benefit,97,220,23;59;71;93;803,35;41;87;155;201,0.9180640869844592,0.9006947927173552
bvse_delta_benefit,98,220,23;59;71;155;201,35;41;87;93;803,0.9235331052871968,0.90623961051036
bvse_delta_benefit,99,220,23;59;71;155;803,35;41;87;93;201,0.9402193112158775,0.928204752539966
bvse_delta_benefit,100,220,23;59;71;201;803,35;41;87;93;155,0.944415050128528,0.9155767681150436
bvse_delta_benefit,101,220,23;59;87;93;155,35;41;71;201;803,0.9228229557276713,0.9107160365822735
bvse_delta_benefit,102,220,23;59;87;93;201,35;41;71;155;803,0.9206888671159674,0.8999070228723735
bvse_delta_benefit,103,220,23;59;87;93;803,35;41;71;155;201,0.9221903902264499,0.9065923600975977
bvse_delta_benefit,104,220,23;59;87;155;201,35;41;71;93;803,0.919083335401035,0.9065585502330064
bvse_delta_benefit,105,220,23;59;87;155;803,35;41;71;93;201,0.9271628171370363,0.9334306306103244
bvse_delta_benefit,106,220,23;59;87;201;803,35;41;71;93;155,0.9216616991210592,0.8887880854037179
bvse_delta_benefit,107,220,23;59;93;155;201,35;41;71;87;803,0.9173665141465229,0.925795236190079
bvse_delta_benefit,108,220,23;59;93;155;803,35;41;71;87;201,0.9280513929420688,0.9130894890765963
bvse_delta_benefit,109,220,23;59;93;201;803,35;41;71;87;155,0.9195387376781823,0.9007556504736198
bvse_delta_benefit,110,220,23;59;155;201;803,35;41;71;87;93,0.9433888262211093,0.932932498605343
bvse_delta_benefit,111,220,23;71;87;93;155,35;41;59;201;803,0.9104133380517883,0.891433143810259
bvse_delta_benefit,112,220,23;71;87;93;201,35;41;59;155;803,0.9259035010382042,0.9090931630818819
bvse_delta_benefit,113,220,23;71;87;93;803,35;41;59;155;201,0.9108845981515907,0.9191448358249324
bvse_delta_benefit,114,220,23;71;87;155;201,35;41;59;93;803,0.9267744906645853,0.9049683596017198
bvse_delta_benefit,115,220,23;71;87;155;803,35;41;59;93;201,0.918308715862287,0.9329065777091562
bvse_delta_benefit,116,220,23;71;87;201;803,35;41;59;93;155,0.930530520690588,0.9113122171945701
bvse_delta_benefit,117,220,23;71;93;155;201,35;41;59;87;803,0.9100883235236175,0.8973183142401514
bvse_delta_benefit,118,220,23;71;93;155;803,35;41;59;87;201,0.9042955359967568,0.8923020573302604
bvse_delta_benefit,119,220,23;71;93;201;803,35;41;59;87;155,0.9133558270195921,0.9042504634768938
bvse_delta_benefit,120,220,23;71;155;201;803,35;41;59;87;93,0.939613178323564,0.9277832562280588
bvse_delta_benefit,121,220,23;87;93;155;201,35;41;59;71;803,0.9350513519613964,0.9258087601359156
bvse_delta_benefit,122,220,23;87;93;155;803,35;41;59;71;201,0.9207215077258049,0.9180910950451643
bvse_delta_benefit,123,220,23;87;93;201;803,35;41;59;71;155,0.9202867201446213,0.8991181260319052
bvse_delta_benefit,124,220,23;87;155;201;803,35;41;59;71;93,0.9294484614725537,0.919775953297307
bvse_delta_benefit,125,220,23;93;155;201;803,35;41;59;71;87,0.9310227609143964,0.9234781334700755
