comparison,n_hops,mean_paired_improvement,median_paired_improvement,ci95_low,ci95_high,bootstrap_probability_gt_zero
unordered_minus_shuffled_s,220,0.0440034880014983,0.012180989980697632,0.02144202279130166,0.06856353367120027,1.0
shuffled_s_minus_positional,220,0.02346053752709519,0.013735932111740113,0.004278781229460786,0.04295036470331252,0.9905
unordered_minus_positional,220,0.06746402552859349,0.01745421066880226,0.038247061713344674,0.10176507701809433,1.0
unordered_minus_invariant,220,0.05688503757796505,0.022877606004476546,0.0309546319574795,0.08767086572454057,1.0
positional_minus_invariant,220,-0.010578987950628456,-0.011089617013931274,-0.023091322862119835,0.002060677014121954,0.0473
positional_forward_minus_inference_sym,220,-0.010942655571482399,-0.004389806836843491,-0.02234834665144709,-0.00020243168444457755,0.0226
