variant,seed,orientation,n,mae,rmse,median_ae,r2
midpoint,7,forward,220,0.36383394517681816,0.5614553822933664,0.23442067950963974,0.5469849031658691
midpoint,7,inference_symmetrised,220,0.36383394517681816,0.5614553822933664,0.23442067950963974,0.5469849031658691
midpoint,7,reverse,220,0.36383394517681816,0.5614553822933664,0.23442067950963974,0.5469849031658691
midpoint,17,forward,220,0.38138497214425693,0.654771215041753,0.1954101324081421,0.3838856362695814
midpoint,17,inference_symmetrised,220,0.38138497214425693,0.654771215041753,0.1954101324081421,0.3838856362695814
midpoint,17,reverse,220,0.38138497214425693,0.654771215041753,0.1954101324081421,0.3838856362695814
midpoint,29,forward,220,0.3317231464792382,0.5461973632767414,0.18989931046962738,0.5712724670774524
midpoint,29,inference_symmetrised,220,0.3317231464792382,0.5461973632767414,0.18989931046962738,0.5712724670774524
midpoint,29,reverse,220,0.3317231464792382,0.5461973632767414,0.18989931046962738,0.5712724670774524
midpoint,43,forward,220,0.38389623043212023,0.6503068303016732,0.18484985828399658,0.39225862053472726
midpoint,43,inference_symmetrised,220,0.38389623043212023,0.6503068303016732,0.18484985828399658,0.39225862053472726
midpoint,43,reverse,220,0.38389623043212023,0.6503068303016732,0.18484985828399658,0.39225862053472726
midpoint,71,forward,220,0.3785762880336155,0.6304736962230875,0.19777032732963562,0.4287632748259429
midpoint,71,inference_symmetrised,220,0.3785762880336155,0.6304736962230875,0.19777032732963562,0.4287632748259429
midpoint,71,reverse,220,0.3785762880336155,0.6304736962230875,0.19777032732963562,0.4287632748259429
midpoint,89,forward,220,0.35455163744362916,0.5821720559033219,0.218308687210083,0.5129372825876524
midpoint,89,inference_symmetrised,220,0.35455163744362916,0.5821720559033219,0.218308687210083,0.5129372825876524
midpoint,89,reverse,220,0.35455163744362916,0.5821720559033219,0.218308687210083,0.5129372825876524
midpoint,101,forward,220,0.35371454696763643,0.5693366722724792,0.2165633738040924,0.5341774660700054
midpoint,101,inference_symmetrised,220,0.35371454696763643,0.5693366722724792,0.2165633738040924,0.5341774660700054
midpoint,101,reverse,220,0.35371454696763643,0.5693366722724792,0.2165633738040924,0.5341774660700054
midpoint,131,forward,220,0.38140437122095716,0.5805354982285237,0.24098509550094604,0.5156718207301325
midpoint,131,inference_symmetrised,220,0.38140437122095716,0.5805354982285237,0.24098509550094604,0.5156718207301325
midpoint,131,reverse,220,0.38140437122095716,0.5805354982285237,0.24098509550094604,0.5156718207301325
midpoint,167,forward,220,0.3397817975418134,0.5266282804807825,0.22333428263664246,0.6014429174293487
