family,outcome,feature,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high,fdr_p_value
confirmatory_published,delta_bvse,litraj_edge_length,220,-0.13014994674946323,0.05389924388510352,-0.27182022358789715,0.0166920521772801,0.2694962194255176
confirmatory_published,delta_bvse,litraj_max_weighted_mean_oxidation,185,-0.07688108866229483,0.29827085481239607,-0.2345241873118079,0.08119575683572672,0.7456771370309901
confirmatory_published,delta_bvse,litraj_max_volume,220,-0.04921476589486258,0.46768262988788556,-0.1850713571761549,0.08788707414103493,0.7794710498131426
confirmatory_published,delta_bvse,litraj_min_volume,220,0.01666375526166018,0.8058583637006024,-0.12954609693501573,0.15508378425542965,0.8058583637006024
confirmatory_published,delta_bvse,litraj_min_mean_covalent_radius,220,-0.018447714201861424,0.7855541891459231,-0.1503729754347369,0.1146377781112191,0.8058583637006024
confirmatory_published,delta_pos,litraj_min_volume,220,-0.08364222401289284,0.216564988666359,-0.2335365276754977,0.06299171616217085,0.5414124716658976
confirmatory_published,delta_pos,litraj_min_mean_covalent_radius,220,0.10211243997240746,0.13107058388404128,-0.034864700857662634,0.23667542708642406,0.5414124716658976
confirmatory_published,delta_pos,litraj_edge_length,220,0.04603889261423508,0.4969241333056934,-0.1095903521165055,0.19769528534445643,0.8282068888428223
confirmatory_published,delta_pos,litraj_max_weighted_mean_oxidation,185,-0.005503961184185589,0.9407278157431148,-0.16265196953487515,0.15379484222256687,0.9407278157431149
confirmatory_published,delta_pos,litraj_max_volume,220,-0.010302992736514091,0.8792251510202429,-0.14506496419642181,0.12665824464456915,0.9407278157431149
exploratory_profile,delta_bvse,dft_profile_effective_cn_range,220,-0.1804083104647166,0.007303228536912995,-0.31849667859129605,-0.042546928951773,0.35055496977182377
exploratory_profile,delta_bvse,dft_profile_volume_s_min,220,-0.0745222730622039,0.2710802841942539,-0.20371026733899547,0.05355203519910536,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_volume_s_max,220,0.08842403831026728,0.19133845791635093,-0.04936943006950112,0.22455672880886174,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_volume_asymmetry,220,-0.07545347480883338,0.2651206194647393,-0.20767669142041215,0.05993612748363631,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_effective_cn_min,220,0.06722528076275056,0.32092682745682044,-0.07239340726802862,0.19937621654398371,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_effective_cn_asymmetry,220,-0.0931461769495613,0.16860333240261036,-0.21554655224730068,0.03261913498740717,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_mean_rc_range,220,0.07680634547619432,0.256623061059437,-0.05564083516371804,0.2119167129765135,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_mean_rc_asymmetry,220,-0.06813196782765349,0.3144285821448839,-0.1941177929175324,0.0627387898454391,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_min,200,-0.08660018828948784,0.22272005128056194,-0.22557034846330717,0.047897177515868035,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_max,200,-0.0821676774435447,0.24739501475195216,-0.2292534089151512,0.06455067842679135,0.856994152318399
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_s_max,200,-0.06307212639025299,0.3749349416392996,-0.19595552432078764,0.0750094573250152,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_volume_min,220,-0.08136907411685816,0.22935684075838042,-0.22575678398112065,0.06588192426785684,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_volume_max,220,-0.11891154775925122,0.07841707634169821,-0.25098129298376154,0.0183262360901115,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_volume_asymmetry,220,-0.060574880397604,0.37122892621445286,-0.18919898516530756,0.07124789294730689,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_effective_cn_range,220,-0.1278553839391873,0.05830782405509986,-0.2559337809366132,0.007909763033306781,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_effective_cn_asymmetry,220,-0.06106737742515341,0.3673452325808985,-0.18695820063218335,0.06540839370448852,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_mean_rc_range,220,0.06548162423608714,0.33366676979413074,-0.07023640161111364,0.1992174440801718,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_min,220,-0.10536117742607518,0.11918672101579131,-0.23654603984348954,0.027686407331430022,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_max,220,-0.0946727190098027,0.16170238565228556,-0.23275351254401275,0.051291131914079566,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_s_min,220,0.09069385860659661,0.18014527933166566,-0.05101510816171338,0.2228420062552199,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_asymmetry,220,0.06256798954373542,0.3556676118222314,-0.06662024543441274,0.18860905043460854,0.856994152318399
exploratory_profile,delta_bvse,bvse_profile_volume_range,220,-0.05579078455790784,0.4102586544261623,-0.1977383330483933,0.0883401335491608,0.895109791475263
exploratory_profile,delta_bvse,bvse_profile_effective_cn_max,220,-0.05194660295385517,0.44330681497018726,-0.18507847958034904,0.08151173332753281,0.9251620486334342
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_s_min,200,0.051530118508088904,0.46866080392255605,-0.09079325725267183,0.1953948887176889,0.9373216078451122
exploratory_profile,delta_bvse,dft_profile_effective_cn_s_max,220,0.030557289461629233,0.6521616946117774,-0.10792905148910811,0.17151517135669359,0.9782425419176661
