scenario,method,seed,best_epoch,trained_epochs,mae,rmse,median_ae,r2,spearman
affine_bvse,affine_em_bvse,23,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,35,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,41,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,59,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,71,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,87,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,93,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,155,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,201,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
affine_bvse,affine_em_bvse,803,0,0,0.29624300970482514,0.4371176101503546,0.19927429125621104,0.7254137526975013,0.6930098104957089
bvse_calibrated_delta,positional,23,18,38,0.25940477218140257,0.42078179707560553,0.15532681345939636,0.7455537442969924,0.7901061066250429
bvse_calibrated_delta,positional,35,36,56,0.2676429357718338,0.4506174944926883,0.14464064687490463,0.7081912748561219,0.7386677786355464
bvse_calibrated_delta,positional,41,69,89,0.2449375909160484,0.4055779681429916,0.1484605073928833,0.7636090278920828,0.789864929590957
bvse_calibrated_delta,positional,59,36,56,0.2610532055524262,0.42510710777405253,0.15941350162029266,0.7402958383374763,0.7485244811594529
bvse_calibrated_delta,positional,71,84,100,0.258989956704053,0.4272507845334835,0.16178281605243683,0.7376700273415204,0.7321424747693885
bvse_calibrated_delta,positional,87,18,38,0.26042208150029184,0.40923756060091565,0.16529028117656708,0.759323797293377,0.7634143455255461
bvse_calibrated_delta,positional,93,83,100,0.2586979669603435,0.4347481801307909,0.15271230787038803,0.7283825162097783,0.7752883699700782
bvse_calibrated_delta,positional,155,33,53,0.25633837269111115,0.4123575364216522,0.14501507580280304,0.755640038008649,0.7765889227613644
bvse_calibrated_delta,positional,201,54,74,0.26999052851037547,0.4395044007272138,0.158504419028759,0.7224069221265361,0.7372218434265171
bvse_calibrated_delta,positional,803,31,51,0.27088277637958524,0.43828790542545704,0.17724595218896866,0.7239414839233957,0.7508505998433476
bvse_path,positional,23,56,76,0.2847109959884123,0.45522250853794777,0.1546897143125534,0.7021966138213953,0.6950575612944669
bvse_path,positional,35,16,36,0.30790413746779616,0.46865956104449696,0.18463131040334702,0.6843562901649594,0.7166507948135667
bvse_path,positional,41,66,86,0.3333652214570479,0.5087326009051718,0.19246023893356323,0.628069910392665,0.6910792672275347
bvse_path,positional,59,30,50,0.2985936867919835,0.4698932902959274,0.18415744602680206,0.6826922616215034,0.7374292105960115
bvse_path,positional,71,17,37,0.3143779248676517,0.505110709079299,0.1903049349784851,0.6333469273677435,0.7018217882037382
bvse_path,positional,87,17,37,0.32171405757015403,0.49939402782233355,0.1879810318350792,0.6415992869514455,0.7341947335500921
bvse_path,positional,93,41,61,0.3050842913714322,0.4758473344283693,0.17189568281173706,0.6746000679096975,0.6835734772882235
bvse_path,positional,155,16,36,0.30664759942076425,0.48973524088230397,0.17766715586185455,0.6553288847650645,0.7243391580216721
bvse_path,positional,201,55,75,0.30122046172618866,0.4476332261802561,0.19223347306251526,0.7120435528349234,0.697302536303342
bvse_path,positional,803,35,55,0.3202364535494284,0.4863381663342681,0.20905572921037674,0.6600939596975637,0.6960200154398382
bvse_scalar_path_fusion,positional,23,65,85,0.27801327244801954,0.4446253618622938,0.1741095744073391,0.7159003886796959,0.7699080935180854
bvse_scalar_path_fusion,positional,35,48,68,0.2831309512257576,0.46533143204497696,0.18339893966913223,0.6888233833878301,0.7698551247302254
bvse_scalar_path_fusion,positional,41,38,58,0.26206970688971604,0.4166988768801793,0.15465009212493896,0.750467661804051,0.7633839166474139
bvse_scalar_path_fusion,positional,59,41,61,0.2615406685932116,0.4178564915571981,0.15782532840967178,0.7490793041597188,0.7761336165848656
bvse_scalar_path_fusion,positional,71,28,48,0.2666020289740779,0.4264213926434124,0.17829632759094238,0.7386875242254249,0.7761685534449434
bvse_scalar_path_fusion,positional,87,30,50,0.27426995187997816,0.4257405317410744,0.16783303022384644,0.7395213257747857,0.77623504617864
bvse_scalar_path_fusion,positional,93,23,43,0.25258853242478585,0.4188835115022749,0.14959163963794708,0.7478443478698368,0.785054912855074
bvse_scalar_path_fusion,positional,155,37,57,0.25558775819160723,0.41176386414983907,0.1423705816268921,0.7563431429228336,0.7730028231236934
bvse_scalar_path_fusion,positional,201,36,56,0.2844152821058577,0.44698741873421527,0.16380837559700012,0.7128738320008181,0.7486146407983636
bvse_scalar_path_fusion,positional,803,37,57,0.27657006233930587,0.4479919967858192,0.16374973580241203,0.7115817832269942,0.7572102353730072
dft_path,crystal,23,14,34,0.5446632488207384,0.8631853874214765,0.29760223627090454,-0.07075555382174081,0.25023786682018656
dft_path,crystal,35,17,37,0.5271435321732001,0.8490136784144475,0.31198926270008087,-0.03588501499361674,0.22858474322943925
dft_path,crystal,41,12,32,0.5361928338354284,0.8502550430756438,0.29388271272182465,-0.03891641758499298,0.2064065803068816
