comparison,n_test_hops,mean_paired_improvement,median_paired_improvement,ci95_low,ci95_high,probability_improvement_gt_zero
dft_midpoint_minus_positional,220,0.05559064567089081,0.021390469372272493,0.020660273708233777,0.0926063339701769,0.999
affine_minus_bvse_fusion,220,0.026764188197593367,0.015527669930064637,-0.005404576009848398,0.05808284715239075,0.9486
affine_minus_bvse_delta,220,0.035406990988078015,0.026912877604879114,0.008341883429753397,0.06208717156439393,0.9946
dft_path_positional_minus_bvse_fusion,220,0.02710787888616323,0.00799425095319748,0.001454146373255009,0.05216150154850699,0.9806
